size_low_pass,size_notch,Volume,Entropy
1.4,0.2,0.0,-0.0
1.4,0.4,259.9106152380389,894.6014207907909
1.4,0.6,257.0481651780681,888.3677038748525
1.4,0.8,249.60634978444372,877.6298161582488
1.4,1.0,236.32112568700938,862.9530736501468
1.4,1.2,219.73315542393738,845.8832470163427
1.4,1.4,205.31411451838213,830.5839330255575
1.4,1.6,197.3444996497626,821.3974832567967
1.4,1.8,193.9672415063339,819.6882672457834
1.4,2.0,202.02630724158726,827.3569767758482
1.4,2.2,205.13375265737525,830.7967968858391
1.4,2.4,204.98665756282847,831.1557748422978
1.4,2.6,196.25620412820393,828.7079596674092
1.4,2.8,211.44127791143447,838.6839006037525
1.4,3.0,204.25102175637272,829.8445408965918
1.4,3.2,204.62151166491228,830.4120103124493
1.4,3.4,191.99025037163565,822.587434451908
1.4,3.6,198.99119263270603,825.7242999254057
1.4,3.8,199.9846054159278,822.1561674789637
1.4,4.0,201.70967875907198,826.513201164086
1.4,4.2,204.73316032068175,831.8035246121206
1.4,4.4,207.7781685765099,834.5094441300093
1.4,4.6,210.72714934755425,837.3861088001943
1.4,4.8,205.01763910030607,831.9784031848415
1.4,5.0,192.7401769288269,823.9480427840381
1.6,0.2,0.0,-0.0
1.6,0.4,254.6634107022818,884.7787577771852
1.6,0.6,250.48392107040365,878.9927175769005
1.6,0.8,243.0906027109343,870.1074223527755
1.6,1.0,232.73544962592266,859.4997781423322
1.6,1.2,219.78718532066847,845.9963479239285
1.6,1.4,206.9263313083124,832.0512863302598
1.6,1.6,198.2200442876516,821.9423022608968
1.6,1.8,193.4840513893191,818.7402027516735
1.6,2.0,200.75292413570082,825.0107968855673
1.6,2.2,203.82125356908938,828.5778676112701
1.6,2.4,203.95862941825487,829.6530526652612
1.6,2.6,196.116305646724,827.2684647173385
1.6,2.8,209.98173212693644,836.6359246298648
1.6,3.0,202.5613738624197,827.0840497074005
1.6,3.2,202.795523292742,827.3273844713642
1.6,3.4,191.17821822299118,819.8726921330348
1.6,3.6,198.4607243525353,824.1882644952685
1.6,3.8,199.7079733683201,821.6674412444618
1.6,4.0,200.6810231029047,824.8364252613496
1.6,4.2,202.69139059714746,828.7316358518256
1.6,4.4,206.47764090932918,832.5611910309135
1.6,4.6,209.09105616929497,835.0616759750874
1.6,4.8,203.890434715144,829.9659172544491
1.6,5.0,192.9257119045177,821.7786466593424
1.8,0.2,0.0,-0.0
1.8,0.4,247.88852400854896,877.1862632931796
1.8,0.6,243.0988801015279,871.4032355740161
1.8,0.8,235.88594923702948,862.5778597949806
1.8,1.0,227.78558235779852,854.2250327260471
1.8,1.2,218.3080707997005,844.5197127787704
1.8,1.4,207.8162272046393,833.1384883681383
1.8,1.6,199.4522677175819,823.5864645717261
1.8,1.8,193.26616411116413,818.4106420307378
1.8,2.0,200.38772850145622,824.4518043548895
1.8,2.2,202.81659380294755,826.875066571196
1.8,2.4,203.03204601316253,828.2769147615259
1.8,2.6,196.18990625422606,826.2489178100054
1.8,2.8,207.87927990706365,833.6606787209472
1.8,3.0,200.5427538044229,823.9622108800029
1.8,3.2,201.09138631314124,824.72523776974
1.8,3.4,190.38672561955048,818.1078601619225
1.8,3.6,198.01410744622544,823.149655149925
1.8,3.8,199.76288228798833,821.7676029809512
1.8,4.0,199.73792710796414,823.4997812271757
1.8,4.2,200.50423587717842,825.7940056645057
1.8,4.4,204.3456948392705,829.5056805921095
1.8,4.6,207.07258651137653,832.2238915426299
1.8,4.8,202.7038284325899,828.0257900033604
1.8,5.0,192.91460242816288,819.878744497008
2.0,0.2,0.0,-0.0
2.0,0.4,240.7908155387615,871.3358300673693
2.0,0.6,236.14938504535922,865.7053767277129
2.0,0.8,229.0857057940044,855.851209107308
2.0,1.0,222.54476909522833,848.5775136713985
2.0,1.2,215.81336497394844,842.109485085927
2.0,1.4,207.9796757526584,833.9867645894161
2.0,1.6,200.56718777353097,825.3556373229204
2.0,1.8,193.45131319280955,818.9494457752476
2.0,2.0,200.262794822828,824.477970546782
2.0,2.2,202.1815521442436,825.9443766611171
2.0,2.4,202.5650363822745,827.2803563423381
2.0,2.6,196.3411630973056,825.2316947754421
2.0,2.8,206.14960687238363,831.4476720805728
2.0,3.0,199.19407708428145,822.1945178580642
2.0,3.2,199.57815232648997,822.58460888889
2.0,3.4,189.5225635657186,816.883199453266
2.0,3.6,197.9345972577015,823.0112320070599
2.0,3.8,200.08933630404795,822.4612751229511
2.0,4.0,199.21700228892664,823.0416795378381
2.0,4.2,198.69406765498945,823.6556116177117
2.0,4.4,202.25775596032844,826.4010821360591
2.0,4.6,205.02843438663345,829.3039748042947
2.0,4.8,201.41362079675287,825.8938243335144
2.0,5.0,193.1106099483821,818.8776947534851
2.2,0.2,0.0,-0.0
2.2,0.4,234.37806653936423,866.4305249470626
2.2,0.6,230.18066119352073,861.2378145817212
2.2,0.8,223.28602555978898,850.4093335553719
2.2,1.0,217.71149954406695,843.585907706572
2.2,1.2,212.5822869232435,838.3994230027175
2.2,1.4,207.3336327405013,833.9630865764112
2.2,1.6,201.1135315269903,826.4763305895539
2.2,1.8,193.36340107235313,818.9107538617753
2.2,2.0,199.8520846124361,823.8880382724583
2.2,2.2,201.5836414492092,824.860918700857
2.2,2.4,202.30697730469745,826.5474271929241
2.2,2.6,196.70177530598016,824.5004887627956
2.2,2.8,204.08954432611023,828.785656100734
2.2,3.0,198.43847847010687,821.3513813277998
2.2,3.2,198.21610954828824,820.8075008809308
2.2,3.4,188.75441479420323,815.6660486796962
2.2,3.6,197.58327549791284,822.416181996171
2.2,3.8,200.20283429601338,822.6519103784517
2.2,4.0,198.96093728754235,823.0444341668978
2.2,4.2,197.396935092626,821.9000032240094
2.2,4.4,200.69396785321206,824.0349138644054
2.2,4.6,203.66362612171076,827.3819190185668
2.2,4.8,200.499479382784,824.3989127840598
2.2,5.0,193.25917371398043,818.1462063006106
2.4,0.2,0.0,-0.0
2.4,0.4,228.72543018788065,861.7432630709102
2.4,0.6,224.87953387304083,856.7709575281119
2.4,0.8,218.5382469430135,846.2157515782369
2.4,1.0,213.44537376667606,839.2135745913855
2.4,1.2,209.12635322024943,834.1821408854444
2.4,1.4,205.40517410614885,831.4105635087252
2.4,1.6,200.89681030699072,826.4887970442057
2.4,1.8,192.78682661115965,817.9796908092205
2.4,2.0,199.1006739593384,822.8294945221819
