m1,m2,Volume,Entropy
5.0,6.5,192.2056266340401,961.7406998011676
5.0,7.0,191.30715091705787,960.7537448126138
5.0,7.5,190.34910565381483,959.731795967906
5.0,8.0,189.34187609539327,958.6839586190912
5.0,8.5,188.29432696794436,957.6173956564505
5.0,9.0,187.2140388987048,956.537776837679
5.0,9.5,186.10750669947177,955.4496127991401
5.0,10.0,184.98030525911736,954.3565019282397
5.0,10.5,183.83722821901554,953.2613246593131
5.0,11.0,182.68240394184744,952.1663859808936
5.0,11.5,181.5193926208987,951.0735308840901
5.0,12.0,180.35126776226707,949.9842320144618
5.0,12.5,179.18068472860858,948.8996621892449
5.0,13.0,178.00993856616128,947.8207487637197
5.0,13.5,176.84101294375904,946.7482201678802
5.0,14.0,175.6756217060095,945.6826414450939
5.0,14.5,174.51524427384544,944.624445093395
5.0,15.0,173.36115590532614,943.5739538739575
5.0,15.5,172.21445364964524,942.531401299142
5.0,16.0,171.076078680607,941.4969495303375
5.0,16.5,169.946835576274,940.4706999851571
5.0,17.0,168.82740901398637,939.4527062908575
5.0,17.5,167.7183782703399,938.4429828473642
5.0,18.0,166.62022985059122,937.4415129781485
5.0,18.5,165.53336851857537,936.4482556035416
5.0,19.0,164.45812695436422,935.4631489249476
5.0,19.5,163.3947742307563,934.4861164881189
5.0,20.0,162.3435232698402,933.5170699098752
5.5,0.5,182.30171548083183,963.4589982869335
5.5,1.0,183.86808468411544,966.8549402726929
5.5,1.5,185.10869425451912,969.2154593956959
5.5,2.0,186.01287813763298,970.722032583463
5.5,2.5,186.61977624827114,971.5982816052972
5.5,3.0,186.9705531358041,972.012886641606
5.5,3.5,187.10146439450668,972.0861601365724
5.5,4.0,187.04374082374676,971.904194110393
5.5,4.5,186.82429869518774,971.5294215911332
5.5,5.0,186.4663816816153,971.0077757984901
5.5,5.5,185.9900730894198,970.373512909439
5.5,6.0,185.41271907376643,969.6525083372111
5.5,6.5,184.7492932432476,968.8645381231598
5.5,7.0,184.01271717179966,968.0248821383269
5.5,7.5,183.21414296830608,967.1454614071381
5.5,8.0,182.3632010364894,966.2356604421273
5.5,8.5,181.4682155859185,965.3029216453174
5.5,9.0,180.53639066321034,964.3531873282004
5.5,9.5,179.57396974103247,963.3912275772362
5.5,10.0,178.58637200570405,962.4208865742914
5.5,10.5,177.5783084054209,961.4452746535054
5.5,11.0,176.5538803109942,960.4669116750367
5.5,11.5,175.51666335772558,959.4878418786354
5.5,12.0,174.46977872668438,958.5097240992368
5.5,12.5,173.41595381678042,957.5339015121466
5.5,13.0,172.35757397335982,956.5614591259136
5.5,13.5,171.2967266831286,955.5932693367491
5.5,14.0,170.23523942178548,954.6300301929035
5.5,14.5,169.17471214904182,953.6722943746092
5.5,15.0,168.11654528323322,952.7204945151071
5.5,15.5,167.06196385114947,951.7749640089738
5.5,16.0,166.01203839453137,950.8359541302196
5.5,16.5,164.96770311959358,949.9036481817587
5.5,17.0,163.9297716968812,948.9781731229833
5.5,17.5,162.8989510531271,948.0596085552252
5.5,18.0,161.87585344228083,947.1479969069609
5.5,18.5,160.86100703759575,946.2433486055592
5.5,19.0,159.8548652490157,945.3456495852512
5.5,19.5,158.85781493874137,944.4548642861099
5.5,20.0,157.87018368170175,943.5709398409244
6.0,0.5,174.68713962642897,968.7125994035872
6.0,1.0,176.15315905088,972.0059664638418
6.0,1.5,177.3537104263948,974.3907850828867
6.0,2.0,178.26518881629724,975.988620252306
6.0,2.5,178.91517522254367,976.9894448735739
6.0,3.0,179.33646516764054,977.5445145748911
6.0,3.5,179.55887016964857,977.7647232668761
6.0,4.0,179.60843859519048,977.7309587204201
6.0,4.5,179.50786658225783,977.5028073066062
6.0,5.0,179.27697490795612,977.1247079898011
6.0,5.5,178.93309855703995,976.6302009881063
6.0,6.0,178.49140188162067,976.0448856569324
6.0,6.5,177.96514493759372,975.3885085234247
6.0,7.0,177.36591666979237,974.6764505620284
6.0,7.5,176.703842415316,973.9208018108535
6.0,8.0,175.98776900392335,973.1311451659014
6.0,8.5,175.22542913932392,972.3151321529813
6.0,9.0,174.42358638917813,971.4789126993718
6.0,9.5,173.58816220164826,970.6274598892701
6.0,10.0,172.72434653039056,969.7648112311805
6.0,10.5,171.83669375015842,968.8942595088561
6.0,11.0,170.92920555386937,968.0184968432045
6.0,11.5,170.00540245403533,967.1397297840763
6.0,12.0,169.06838539267224,966.2597673535358
6.0,12.5,168.12088881803604,965.3800933074452
6.0,13.0,167.16532643172016,964.5019228095267
6.0,13.5,166.2038306576697,963.6262504343468
6.0,14.0,165.2382867426153,962.7538856151842
6.0,14.5,164.27036226885636,961.8854849359375
6.0,15.0,163.30153274652432,961.0215754401626
6.0,15.5,162.333103853308,960.1625780331684
6.0,16.0,161.366230804174,959.3088237995419
6.0,16.5,160.40193526058036,958.4605683980518
6.0,17.0,159.44112012657473,957.6180047306556
6.0,17.5,158.48458252657178,956.7812727543192
6.0,18.0,157.53302521516204,955.9504686580451
6.0,18.5,156.58706663180536,955.1256515649397
6.0,19.0,155.64724978164446,954.306850503863
6.0,19.5,154.71405009700695,953.4940692884908
6.0,20.0,153.78788241167626,952.6872900754689
6.5,0.5,167.92311172014774,973.6313125459011
6.5,1.0,169.29807036858378,976.8193409299926
6.5,1.5,170.45598427544235,979.2092674705827
6.5,2.0,171.36425483284177,980.8739433281855
6.5,2.5,172.04135448072802,981.9737817742462
6.5,3.0,172.5134261701469,982.6442409900375
6.5,3.5,172.80517774174385,982.9874431442341
6.5,4.0,172.93853363059372,983.079264139997
6.5,4.5,172.9327821910324,982.976419073438
6.5,5.0,172.80492001254117,982.7217448156422
6.5,5.5,172.5699559617023,982.3479360286605
6.5,6.0,172.24115624453802,981.8801962764701
6.5,6.5,171.83024690998548,981.3381390780387
6.5,7.0,171.34758832525986,980.7371610540849
6.5,7.5,170.80232996261958,980.0894502047415
6.5,8.0,170.2025495377367,979.4047273714089
6.5,8.5,169.55537833994526,978.690802582013
