ThetaIncident,SineRatio,Power1,Power2,volume,analytical volume,entropy
72,1,0.5,2,410,418,4707
72,1,1,0.5,428,436,4976
72,1,1,1,417,426,4817
72,1,1,2,406,414,4634
72,1,2,0.5,410,418,4707
72,1,2,1,406,414,4634
72,1,2,2,400,409,4548
81,0.1,0.5,0.5,376,451,4275
81,0.1,0.5,1,367,466,4069
81,0.1,0.5,2,372,436,3985
81,0.1,1,0.5,433,466,5065
81,0.1,1,1,425,481,4912
81,0.1,1,2,404,457,4511
81,0.1,2,0.5,421,436,4902
81,0.1,2,1,435,457,5097
81,0.1,2,2,443,474,5145
81,0.2,0.5,0.5,380,451,4320
81,0.2,0.5,1,375,466,4174
81,0.2,0.5,2,382,436,4135
81,0.2,1,0.5,434,466,5089
81,0.2,1,1,429,481,4983
81,0.2,1,2,413,457,4643
